abbrev[key],positive,negative,sis
<3,1,0,0
1337,0,0,0
a/s/l/p,0,0,0
aaf,0,0,0
adad,0,0,0
adih,0,1,0
adip,1,0,0
aeap,0,0,0
afaics,0,0,0
afaict,0,0,0
afaik,0,0,0
afap,0,0,0
afk,0,0,0
asap,0,0,0
asl,0,0,0
awol,0,0,0
b4,0,0,0
bbiab,0,0,0
bbl,0,0,0
bbs,0,0,0
bcnu,0,0,0
bff,1,0,0
bfn,0,0,0
bofh,0,1,0
brb,0,0,0
bsod,0,0,0
btdt,0,0,0
btw,0,0,0
cu,0,0,0
cya,0,0,0
diaf,0,1,0
dilligad,0,1,0
dilligas,0,1,0
dnd,0,0,0
eol,0,0,0
eom,0,0,0
eta,0,0,0
faq,0,0,0
ffs,0,1,0
foad,0,1,0
foaf,0,0,0
ftl,0,0,0
ftw,0,0,0
ftw?,0,1,0
fubar,0,1,0
fud,0,1,0
fwiw,0,0,0
fyi,0,0,0
g2g,0,0,0
gf,0,0,0
gfy,0,1,0
gg,0,0,0
gj,1,0,0
gl,0,0,0
gmta,1,0,0
gtfo,0,1,0
gtg,0,0,0
hf,1,0,0
hth,0,0,0
ianal,0,0,0
ibtl,0,0,0
idk,0,0,0
iirc,0,0,0
ily,1,0,0
imao,0,0,0
imho,0,0,0
imnsho,0,0,0
imo,0,0,0
iow,0,0,0
irl,0,0,0
iwsn,0,0,0
iykwim,0,0,0
j/k,0,0,1
jas,0,0,0
jk,0,0,1
kk,0,0,0
l8r,0,0,0
lmao,1,0,0
lmfao,1,0,0
lmirl,0,0,0
lmk,0,0,0
lol,1,0,1
ltns,0,0,0
lulz,1,0,0
lylab,1,0,0
lylas,1,0,0
motd,0,0,0
mtfbwy,1,0,0
myob,0,1,0
n/m,0,0,0
n1,1,0,0
ne1,0,0,0
nifoc,0,0,0
nm,0,0,0
np,1,0,0
ns,0,0,0
nsfw,0,0,0
nvm,0,0,0
oic,0,0,0
omfg,0,0,0
omg,0,0,0
omw,0,0,0
ot,0,0,0
otoh,0,0,0
otp,0,0,0
paw,0,0,0
pebcak,0,1,0
pita,0,1,0
pmsl,1,0,0
pos,0,1,0
pov,0,0,0
ppl,0,0,0
qft,0,0,0
re,0,0,0
rehi,0,0,0
rl,0,0,0
rofl,1,0,0
rotfl,1,0,0
rotflmao,1,0,0
rotflol,1,0,0
rsn,0,0,1
rtfm,0,1,0
scnr,0,0,1
sk8r,0,0,0
smh,0,1,0
snafu,0,1,0
sohf,0,0,0
stfu,0,1,0
stfw,0,1,0
tanstaafl,0,1,0
tbh,0,0,0
tgif,1,0,0
thnx,1,0,0
thx,0,0,0
tia,0,0,0
tmi,0,0,0
tnx,0,0,0
ttbomk,0,0,0
ttfn,0,0,0
ttyl,0,0,0
tx,0,0,0
ty,0,0,0
tyvm,0,0,0
w/,0,0,0
w/o,0,0,0
w8,0,0,0
wb,0,0,0
wrt,0,0,0
wtb,0,0,0
wtf,0,1,0
wtg,0,0,0
wth,0,1,0
wts,0,0,0
wysiwyg,0,0,0
ykw,0,0,0
ymmv,0,0,0
yoyo,0,0,0
yw,0,0,0
