emoticon[key],positive,negative,sis,surprise,requires-closing-tokenizer[flag]
:),1,0,0,0,0
:(,0,1,0,0,0
:-(,0,1,0,0,0
:-),1,0,0,0,0
:-*,0,0,0,0,0
:D,1,0,0,0,1
:O,0,0,0,1,1
:-S,0,1,0,0,1
;-),1,0,1,0,0
:-#,0,0,0,0,0
:-$,0,1,0,0,0
:-&,0,0,0,0,0
:-/,0,1,0,0,0
:-?,0,0,0,0,0
:-@,0,1,0,0,0
:[,0,1,0,0,0
:-[,0,0,0,0,0
:^),0,0,0,0,0
:-|,0,1,0,0,0
:-<,0,0,0,0,0
:>,0,0,0,0,0
:-c,0,1,0,0,1
:-D,1,0,0,0,1
:-O,0,0,0,1,1
:P,1,0,1,0,1
:-Q,0,0,0,0,1
:-T,0,0,0,0,1
:-w,0,0,0,0,1
;),1,0,1,0,0
8-),1,0,0,0,0
B-),1,0,0,0,0
O:-),1,0,0,0,0
#:-),1,0,0,0,0
$-),1,0,0,0,0
&-|,0,1,0,0,0
(-:,1,0,0,0,0
(:-(,0,1,0,0,0
(:-),1,0,0,0,0
(:-D,0,0,0,0,1
",-)",0,0,1,0,0
",:-)",0,0,0,0,0
",-}",0,0,1,0,0
:-!,0,0,0,0,0
":-""",0,0,1,0,0
:#),0,0,0,0,0
:'(,0,1,0,0,0
:-(*),0,1,0,0,0
:*),1,0,0,0,0
:@,0,0,0,1,0
:-\,0,1,0,0,0
:-],1,0,0,0,0
:-{,1,0,0,0,0
:-{},1,0,0,0,0
:|,0,1,0,0,0
:-},0,0,1,0,0
:->,0,1,1,0,0
:-0,0,1,0,0,0
:-B,0,0,1,0,1
:-I,0,1,0,0,0
:-P,1,0,1,0,1
:-X,0,0,0,0,1
[:-),1,0,0,0,0
{:-),1,0,0,0,0
=:-(,1,0,0,0,0
=:-),1,0,0,0,0
>:),0,0,1,0,0
>:->,1,0,1,0,0
>;->,1,0,1,0,0
8-O,0,0,0,1,1
;-(,0,1,0,0,0
